paper_id,title,year,venue,task,modality,dataset,core_mechanism,code_url,primary_source,evidence_level,fulltext_read,closest_claim,known_limit,status
L-015,RepKPU: Point Cloud Upsampling with Kernel Point Representation and Deformation,2024,CVPR,point cloud upsampling,point cloud,,kernel point representation + deformation for upsampling,,https://doi.org/10.1109/CVPR52733.2024.01989,B,no,kernel-point upsampling,metadata only,VERIFIED
L-016,S3U-PVNet: Arbitrary-scale point cloud upsampling via Point-Voxel Network based on Siamese Self-Supervised Learning,2024,CVIU,point cloud upsampling,point cloud,,point-voxel network + siamese self-supervised, arbitrary-scale upsampling,,https://doi.org/10.1016/j.cviu.2023.103890,B,no,arbitrary-scale self-supervised upsampling,metadata only,VERIFIED
L-017,PointFilterNet: A Filtering Network for Point Cloud Denoising,2023,IEEE TCSVT,point cloud denoising,point cloud,,filtering network for denoising,,https://doi.org/10.1109/TCSVT.2022.3207789,B,no,filtering network denoising,metadata only,VERIFIED
L-018,Point-DAE: Denoising Autoencoders for Self-Supervised Point Cloud Learning,2025,IEEE TNNLS,self-supervised pretraining via denoising,point cloud,,denoising autoencoder for self-supervised point cloud representation,,https://doi.org/10.1109/TNNLS.2025.3557055,B,no,denoising autoencoder self-supervised learning,metadata only,VERIFIED
L-019,SIMPC: Learning Self-Induced Mirror-Point Consistency for Unsupervised Point Cloud Denoising,2026,arXiv preprint,unsupervised point cloud denoising,point cloud,,self-induced mirror-point consistency for unsupervised denoising,,https://doi.org/10.48550/arXiv.2605.26894,B,no,unsupervised denoising via mirror-point consistency,metadata only,VERIFIED
L-020,Learning Point Cloud Completion without Complete Point Clouds: A Pose-Aware Approach,2023,ICCV,point cloud completion (weakly/pose),point cloud,,pose-aware completion without complete point clouds,,https://doi.org/10.1109/ICCV51070.2023.01306,B,no,completion without complete point clouds,metadata only,VERIFIED
L-021,A Sensor-Aware Phenomenological Framework for Lidar Degradation Simulation and SLAM Robustness Evaluation,2025,arXiv preprint (also IEEE RAP 2026),LiDAR degradation simulation + SLAM robustness,LiDAR point cloud,"real point clouds (SemanticKITTI-C referenced)",sensor-aware degradation simulation (structured dropout, FoV reduction, Gaussian noise, occlusion masking, sparsification, motion distortion); 4 severity tiers; Docker/ROS; open-source,https://doi.org/10.48550/arxiv.2512.08653,https://doi.org/10.48550/arxiv.2512.08653,B,no,"sensor-aware phenomenological degradation simulation preserving per-point geometry/intensity/temporal structure; open-source",,VERIFIED
L-022,Degradation-Aware LiDAR-Thermal-Inertial SLAM,2025,IEEE RA-L,LiDAR degradation-aware SLAM,LiDAR+camera(thermal)+IMU,,degradation-aware fusion of LiDAR/thermal/inertial for robust SLAM,,https://doi.org/10.1109/LRA.2025.3581127,B,no,degradation-aware LiDAR-thermal-inertial SLAM,metadata only,VERIFIED
L-023,Recognition of Degradation Scenarios for LiDAR SLAM Applications,2022,ROBIO,LiDAR degradation scenario recognition,LiDAR point cloud,,recognition of LiDAR degradation scenarios for SLAM,,https://doi.org/10.1109/ROBIO55434.2022.10011727,B,no,degradation scenario recognition for SLAM,metadata only,VERIFIED
L-024,Localization Meets Uncertainty: Uncertainty-Aware Multi-Modal Localization,2025,MDPI Technologies (journal); arXiv 2504.07677,uncertainty-aware indoor localization with percentile rejection (3-DoF pose regression),RGB + 2D LiDAR (fused),"three real-world robot datasets (unnamed in abstract)",percentile-based rejection of unreliable 3-DoF pose predictions using aleatoric+epistemic uncertainty; frozen model + acceptance layer (no model modification),,https://doi.org/10.3390/technologies13090386,B,no,"first to quantitatively show percentile-based uncertainty rejection in multi-modal end-to-end localization; stricter thresholds reduce pose error","NOT cross-modal retrieval (end-to-end pose REGRESSION with fused RGB+LiDAR); acceptance = percentile threshold, no coverage guarantee; OCR-corrected ID (not 2504.0677); datasets unnamed",VERIFIED
L-025,SAFEVPR: Patch-Based Conformal Verification for Safe Cross-Condition Sequence Visual Place Recognition,2026,arXiv preprint 2605.28048,safe sequence visual place recognition (accept/reject),visual only (DINOv2 ViT) sequence,"Oxford RobotCar, NCLT, St Lucia (23 cross-condition setups)",MNN patch-matching score from frozen DINOv2; Mondrian conformal LTT with Bonferroni-corrected per-bin thresholds (FDR control),https://github.com/Hasar12139/SafeVPR,https://doi.org/10.48550/arxiv.2605.28048,B,no,"conformal verification for safe cross-condition sequence VPR; valid 23/23 setups at FDR 0.10","single-modal visual, sequence-based, provides FDR guarantees (unlike our no-guarantee positioning); NOT cross-modal image-to-pointcloud",VERIFIED
L-026,G2IA: Geometry-Guided Instance-Aware Retrieval and Refinement for Cross-Modal Place Recognition,2026,arXiv preprint 2606.15287,image-to-point-cloud place recognition (retrieval + candidate re-ranking),image (camera) -> LiDAR point cloud map,"public benchmarks (unnamed in abstract)",geometry priors (VGGT) + instance features for retrieval; refinement (CRM) re-ranks candidates by Geometric Layout Matcher + Shape Feature Matcher verifying instance shapes + normalized pairwise-distance spatial layout across modalities,,https://doi.org/10.48550/arxiv.2606.15287 (arxiv.org/html/2606.15287v1),A,yes,"geometry-guided instance-aware image-to-pointcloud PR with re-ranking; CRM = GLM+SFM verifying instance shape + relative spatial layout consistency","urban setting; NO selective acceptance/abstention; code not confirmed; GLM uses normalized pairwise distances (metric cues discarded), future work = integrate metric depth",VERIFIED
L-027,PRGS: Patch-to-Region Graph Search for Visual Place Recognition,2025,Pattern Recognition (journal),visual place recognition (ranking via query-candidate relation),visual only,,patch-to-region graph search,,https://doi.org/10.1016/j.patcog.2025.111673,B,no,metadata only (abstract not in OpenAlex),"visual-only VPR, not cross-modal; abstract unavailable at B level",VERIFIED
L-028,SceneGraphLoc: Cross-Modal Coarse Visual Localization on 3D Scene Graphs,2024,ECCV 2024,cross-modal coarse visual localization (image -> 3D scene graph map),image -> 3D scene graph (object point clouds/images/attributes/relations),"scene-graph DB (dataset names not in abstract)",fixed-size node embeddings for scene-graph objects matched against query-image objects,,https://doi.org/10.1007/978-3-031-73242-3_8,B,no,"image localization within a scene-graph map; ~3 orders magnitude less storage than image-DB methods","map is semantic scene graph, not dense metric point cloud; code availability unconfirmed",VERIFIED
L-029,ModaLink: Unifying Modalities for Efficient Image-to-PointCloud Place Recognition,2024,IROS 2024,image-to-pointcloud place recognition (cross-modal retrieval),image -> point cloud,"KITTI, HAOMO","FoV transformation (point cloud -> image-like, no depth estimation) + non-negative factorization encoder for consistent semantic features",https://github.com/haomo-ai/ModaLink,https://doi.org/10.1109/IROS58592.2024.10801556,B,no,"lightweight real-time image-to-pointcloud PR via FoV transformation; SOTA on KITTI",urban/outdoor driving datasets; no selective acceptance,VERIFIED
L-030,C2L-PR: Cross-Modal Camera-to-LiDAR Place Recognition via Modality Alignment and Orientation Voting,2025,IEEE Transactions on Intelligent Vehicles,camera-to-LiDAR place recognition (cross-modal),monocular image -> LiDAR point-cloud DB,"KITTI, KITTI-360, Oxford RobotCar",modality alignment to bridge image-pointcloud gap + orientation voting to suppress FoV-inconsistency ambiguity,,https://doi.org/10.1109/TIV.2024.3423392,B,no,"monocular image localization against pre-built LiDAR DB; orientation voting suppresses recognition ambiguity","urban/outdoor; year = T-IV 2024 online-first / DBLP 2025; no selective acceptance",VERIFIED
L-031,InsCMPR: Efficient Cross-Modal Place Recognition via Instance-Aware Hybrid Mamba-Transformer,2025,ICRA 2025,cross-modal place recognition,image + point cloud (cross-modal),"KITTI, NCLT, HAOMO",instance-aware modality alignment (SAM) + dual-branch hybrid Mamba-Transformer,https://github.com/nubot-nudt/InsCMPR,https://doi.org/10.1109/icra55743.2025.11128210,B,no,instance-aware cross-modal PR (real-time SOTA),urban/outdoor; no selective acceptance,VERIFIED
L-032,Decision PCR: Decision version of the Point Cloud Registration task,2025,arXiv preprint 2507.14965,point cloud registration correctness classification (accept/reject),point cloud,"3DMatch (constructed), 3DLoMatch, ETH",deep classifier to assess registration quality; integrated into PCR pipelines,,http://arxiv.org/abs/2507.14965,B,no,"first comprehensive deep-learning study of Decision PCR; +GeoTransformer -> 86.97% recall on 3DLoMatch",registration correctness (not place recognition); classification,VERIFIED
L-033,Matter: Multiscale Attention for Registration Error Regression,2026,IEEE ICASSP 2026,PCR quality validation via error regression (not classification),point cloud,diverse datasets (names in full text),multiscale feature extraction + attention-based aggregation for fine-grained registration error regression,,https://doi.org/10.1109/icassp55912.2026.11464539,B,no,"regression-based PCR validation; improves mapping quality vs classification method","venue CORRECTED to ICASSP 2026; arXiv 2509.12924 ID UNVERIFIED (does not exist)",VERIFIED
L-034,WildCross: A Cross-Modal Large Scale Benchmark for Place Recognition and Metric Depth Estimation in Natural Environments,2026,arXiv preprint 2603.01475 (ICRA 2026 UNVERIFIED),cross-modal place recognition + metric depth estimation benchmark,RGB + LiDAR (natural environments),WildCross (476K RGB frames + semi-dense depth + normals + 6DoF + lidar submaps),benchmark dataset,https://csiro-robotics.github.io/WildCross,https://doi.org/10.48550/arxiv.2603.01475,B,no,"large-scale natural-environment cross-modal PR benchmark",natural/unstructured OUTDOOR environments (not indoor); ICRA 2026 attribution UNVERIFIED (DBLP lists CoRR only),VERIFIED
L-035,HOTFormerLoc: Hierarchical Octree Transformer for Versatile Lidar Place Recognition Across Ground and Aerial Views,2025,CVPR 2025,LiDAR place recognition (ground-to-ground and ground-to-aerial),LiDAR point cloud only,"CS-WildPlaces (introduced), urban + forest datasets",octree multi-scale attention + cylindrical octree windows + relay tokens + pyramid pooling,https://csirorobotics.github.io/HOTFormerLoc,https://doi.org/10.1109/cvpr52734.2025.00623,B,no,"versatile LiDAR PR across ground/aerial; +4.9% avg on urban/forest",LiDAR-only (point-to-point) NOT cross-modal image query,VERIFIED
L-036,VLM-Loc: Localization in Point Cloud Maps via Vision-Language Models,2026,arXiv preprint 2603.09826 (CVPR 2026 UNVERIFIED),text-to-point-cloud localization (T2P),natural language text -> point cloud map (NOT RGB image),CityLoc (introduced),BEV images + scene graphs fed to VLM + partial node assignment mechanism,https://github.com/MCG-NKU/nku-3d-vision,https://doi.org/10.48550/arxiv.2603.09826,B,no,VLM-based T2P localization with CityLoc benchmark,text query (not image); CVPR 2026 attribution UNVERIFIED (arXiv only),VERIFIED
L-037,Conformal Prediction Aided Kalman Filters with Confidence Intervals,2026,IEEE ICASSP 2026,conformal + Kalman filter (tracking confidence intervals),dynamic system state (not image/pointcloud),synthetic dynamical systems (EKF),conformalized quantile KF (CQKF) with distribution-free confidence intervals from calibration,,https://doi.org/10.1109/icassp55912.2026.11464419,B,no,"conformal prediction + KF with theoretical sample-wise and trajectory-wise confidence guarantees",tracking/KF domain (not localization retrieval),VERIFIED
L-038,3RScan + 3DSSG (indoor RGB-D re-scan dataset + 3D semantic scene graphs),2019,ICCV 2019 (RIO/3RScan) + CVPR 2020 (3DSSG),indoor RGB-D re-scan dataset + semantic scene graphs,RGB-D (indoor),"3RScan: 1482 scans, 478 environments, multi-time-step",3RScan = RGB-D rescans with instance GT + 6DoF mappings; 3DSSG = semantic scene graphs on 3RScan,,https://doi.org/10.1109/iccv.2019.00775,B,no,"3RScan = 1482 RGB-D scans / 478 env with instance GT + 6DoF re-scan mappings; 3DSSG built on it",RGB-D (not LiDAR point cloud map); place-level division needs custom setup (D inference),VERIFIED
L-039,ScanNet: Richly-Annotated 3D Reconstructions of Indoor Scenes,2017,CVPR 2017,indoor RGB-D dataset with reconstruction,"RGB-D video (2.5M views, 1513 scenes)",ScanNet,dataset with 3D camera poses + surface reconstructions + semantic segmentations,http://www.scan-net.org,https://doi.org/10.1109/cvpr.2017.261,B,no,"2.5M views / 1513 scenes RGB-D with camera poses + semantics",map modality = surface mesh (not LiDAR point cloud); place-level division custom,VERIFIED
L-040,LaMAR: Benchmarking Localization and Mapping for Augmented Reality,2022,ECCV 2022,AR localization + mapping benchmark (head-mounted + hand-held AR devices),RGB + LiDAR + depth + IMU (heterogeneous AR devices),LaMAR (3 large scenes; lidar point clouds + on-device depth released Oct 2023),benchmark with laser-scan-aligned GT trajectories,https://github.com/microsoft/lamar-benchmark,https://doi.org/10.1007/978-3-031-20071-7_40,B,no,"co-registered trajectories + sensor streams with accurate laser-aligned GT","relative pose GT = yes; place-level relocalization evaluation = D inference (needs full read)",VERIFIED
L-041,"(LC)^2: LiDAR-Camera Loop Constraints For Cross-Modal Place Recognition",2023,IEEE Robotics and Automation Letters (RA-L),camera-to-LiDAR place recognition (cross-modal),image (disparity) -> LiDAR range image,"multiple sessions public datasets (unnamed in abstract)","transform camera (disparity) + LiDAR (range) into 2.5D depth images; network extracts localization descriptors from disparity + range images; best matches used as loop factor in pose graph",,https://doi.org/10.1109/lra.2023.3268848 (arXiv 2304.08660),B,no,"cross-modal matching via unified 2.5D depth representation (disparity vs range image)","descriptor-level matching only; NO spatial correspondence or PnP/RANSAC geometric verification; abstract says 'disparity' (stereo) not monocular",VERIFIED
L-042,"PDPR: Panoramic-depth place recognition through the fusion of visual and geometric-aware features",2026,Neurocomputing (journal),panoramic visual place recognition with monocular depth fusion (single-modality),panoramic RGB + monocular depth (Depth Anything v2),"public VPR datasets (names not in abstract)","relative depth maps from monocular depth (Depth Anything v2); image + depth -> embeddings via same frozen VPR model; late fusion into global descriptor; model-agnostic (no fine-tuning)",,https://doi.org/10.1016/j.neucom.2026.133112,B,no,"model-agnostic fusion of visual + geometric (relative depth) features for panoramic VPR","SINGLE-modality VPR (RGB+depth), NOT cross-modal RGB->LiDAR; global descriptor fusion, no spatial correspondence / geometric verification; 'relative depth' concept overlaps our rel_depth asset",VERIFIED
L-043,"DXPR: Depth-Based Vision-LiDAR Cross-Modal Place Recognition Using Vision Foundation Models",2026,arXiv preprint 2609.09005,camera-to-LiDAR cross-modal place recognition,monocular image -> LiDAR map,KITTI odometry + Boreas,"convert camera (Depth Anything metric-depth) + LiDAR (DOC-Depth) to unified depth image representation; VFM backbone (DINOv2) + SALAD aggregator -> global descriptor; geometry-aware overlap miner (cross-modal scale alignment + forward-warp -> pixel-level overlap) ONLY for training pair mining + adaptive loss margin",,https://doi.org/10.48550/arXiv.2609.09005 (arxiv.org/html/2609.09005v1),A,yes,"unified depth representation + VFM global descriptor with geometry-aware overlap mining; inference = pure descriptor retrieval","NO PnP/RANSAC geometric verification; overlap miner is training-only, NOT candidate verification at inference; venue = arXiv preprint (no peer review yet)",VERIFIED
L-044,"SOLVR: Submap Oriented LiDAR-Visual Re-Localisation",2025,ICRA 2025,LiDAR-visual place recognition + 6-DoF registration (cross-modal),stereo image -> LiDAR submap,KITTI + KITTI-360,"align modalities via stereo metric depth (Unimatch) + Bayesian occupancy submap fusion; sparse keypoint correspondences -> geometric consistency matrix -> leading eigenvector as inlier probability -> inlier-weighted least squares (replaces RANSAC) for 6-DoF transform",,https://doi.org/10.1109/icra55743.2025.11127845 (arxiv.org/html/2409.10247v2),A,yes,"cross-modal LiDAR-visual PR + 6-DoF registration via sparse keypoint correspondences + inlier-weighted least squares (RANSAC replacement)","already covers route 1 (spatial correspondence + geometric verification); uses stereo (not monocular) depth",VERIFIED
L-045,"LiDAR Registration with Visual Foundation Models",2025,Robotics: Science and Systems (RSS) 2025,LiDAR-map registration using image features (cross-modal),surround-view RGB -> LiDAR point cloud,NCLT + Oxford RobotCar,"DINOv2 features from surround-view images as LiDAR point descriptors via point-to-pixel projection; cosine-similarity point correspondence; 3-point RANSAC + point-to-point ICP for 6DoF scan-to-map alignment",https://vfm-registration.cs.uni-freiburg.de,https://doi.org/10.15607/rss.2025.xxi.031 (arxiv.org/html/2502.19374v1),A,yes,"image features as point descriptors + RANSAC/ICP for robust cross-modal LiDAR registration","already covers route 1 (RGB features -> LiDAR point descriptors -> correspondence -> RANSAC/ICP geometric verification)",VERIFIED
L-046,"GeoUniPR: A Geometry-Consistent Unified Framework for Cross-Modal Place Recognition",2026,arXiv preprint 2608.11263,image-to-LiDAR cross-modal place recognition,image -> LiDAR point cloud,KITTI + KITTI-360,"project LiDAR into camera perspective -> Geometry-Consistent depth image views (DIV) establishing direct RGB-LiDAR correspondence; multi-channel (intensity + normal) geometric representation; two ViT encoders (PEFT); Spatially-Consistent InfoNCE",,https://doi.org/10.48550/arXiv.2608.11263,B,no,"geometry-consistent depth image views establishing RGB-LiDAR correspondence + SC-InfoNCE","correspondence is representation-level (projection), NOT explicit point correspondence + PnP/RANSAC verification; venue = arXiv preprint (no peer review yet)",VERIFIED
L-047,"Monocular Visual Place Recognition in LiDAR Maps via Cross-Modal State Space Model and Multi-View Matching",2025,ICRA 2025,camera-to-LiDAR cross-modal place recognition,monocular image -> LiDAR map,KITTI + KITTI-360,"VMamba backbone; pixel-view-scene joint training for cross-modal contrastive learning; multi-view descriptors for point clouds (FoV handling); visible 3D points overlap for multi-view supervision",,https://doi.org/10.1109/icra55743.2025.11128591 (arXiv 2410.06285),B,no,"cross-modal descriptor learning (VMamba + multi-view matching) for monocular-to-LiDAR PR","descriptor-level matching, no spatial correspondence + PnP/RANSAC verification; code 'will be released upon acceptance'",VERIFIED
L-048,"Fusion Place Recognition with Geometric Verification",2026,SSRN preprint (not peer-reviewed),place recognition + geometric verification (title only),"(unclear from metadata)",,"(unclear from metadata)",,https://doi.org/10.2139/ssrn.6644521,D,no,"(title only; content not accessible)","SSRN preprint; 3 separate DOIs share same title (likely preprint farm); NOT the 'Depth-Guided Reranking 2025' paper; quality UNVERIFIED",UNVERIFIED

L-049,TripleMixer: A Triple-Domain Mixing Model for Point Cloud Denoising Under Adverse Weather,2025,IEEE TIP,point cloud denoising under adverse weather,LiDAR point cloud,"Weather-KITTI/Weather-NuScenes (built by authors)","triple-domain mixing; task-agnostic preprocessing; 4 downstream benchmarks (Denoising/SS/PR/OD)",https://github.com/Grandzxw/TripleMixer,https://doi.org/10.1109/TIP.2025.3629047,B,no,weather-robust denoising + downstream benchmark,abstract+repo only (full text unread),VERIFIED
L-050,WeatherGen: A Unified Diverse Weather Generator for LiDAR Point Clouds via Spider Mamba Diffusion,2025,CVPR,LiDAR weather degradation data generation,LiDAR point cloud,synthetic snow/fog/rain,"unified multi-weather LiDAR diffusion generator (spider mamba)",https://github.com/wuyang98/weathergen,https://doi.org/10.1109/CVPR52734.2025.01586 (arXiv 2504.13561),B,no,unified weather degradation generator,data generator only (not a PR method),VERIFIED
L-051,ResLPR: A LiDAR Data Restoration Network and Benchmark for Robust Place Recognition Against Weather Corruptions,2025,IROS,LiDAR restoration for weather-robust place recognition,LiDAR point cloud,"WeatherKITTI/WeatherNCLT (built by authors)","wavelet restoration network + plug-and-play; restoration evaluated by downstream PR gain",https://github.com/nubot-nudt/ResLPR,https://doi.org/10.1109/IROS60139.2025.11246484 (arXiv 2503.12350),B,no,restoration -> downstream PR gain (kills route 1 and 2),same lab as TripleMixer (NUDT); abstract+repo only,VERIFIED
L-052,Weather-Robust LiDAR Perception: Point Cloud Restoration from Adverse Weather (LTDNet),2026,AAAI,point cloud restoration -> downstream 3D detection,LiDAR point cloud,"IQA3D (built by authors)","restoration + downstream detection evaluation",,https://doi.org/10.1609/aaai.v40i11.37873,B,no,restoration -> downstream detection (kills route 1 detection side),abstract only; code unconfirmed,VERIFIED
L-053,Diffusion Based Robust LiDAR Place Recognition,2025,ICRA,robust LiDAR place recognition,LiDAR point cloud,urban/perceptual aliasing,"diffusion + PointNet++ for robust LiDAR PR (perceptual aliasing axis, non-weather)",,https://doi.org/10.1109/ICRA55743.2025.11127534 (arXiv 2504.12412),B,no,robust LiDAR PR (perceptual aliasing; not weather),abstract only; code unconfirmed,VERIFIED
L-054,"LPR-Mate: A Lightweight Universal Reranking-based Optimizer for LiDAR Place Recognition in Challenging Environments",2025,ISPRS Annals,LiDAR place recognition reranking optimizer (challenging env),LiDAR point cloud,"Oxford RobotCar / NUS-Inhouse / MulRan","dual-stage = fast trigger (low-confidence gating) + reranking network; rotational/noise/sparsity/long-term",,https://doi.org/10.5194/isprs-annals-x-1-w2-2025-223-2025,B,no,degradation-robust LiDAR PR + confidence-gated reranking (kills route 2; hits red-line 1),GOLD OA full abstract read; full text unread,VERIFIED
